,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Position,Floor No.,Weather,Occupancy_Classified
145,1810.0,40.0,58.0,60.0,25.7,13.9,3,2.0,4,2
146,1810.0,40.0,59.0,60.0,25.8,13.9,3,2.0,4,2
147,1810.0,40.0,59.0,60.0,25.7,13.9,3,2.0,4,2
148,1811.0,40.0,59.0,60.0,25.8,13.9,3,2.0,4,2
149,1811.0,41.0,60.0,60.0,25.7,13.8,3,2.0,4,2
150,1811.0,41.0,60.0,61.0,25.7,13.9,3,2.0,4,2
151,1811.0,41.0,60.0,62.0,25.8,13.9,3,2.0,4,2
152,1811.0,40.0,59.0,62.0,25.7,13.9,3,2.0,4,2
153,1811.0,40.0,59.0,63.0,25.8,13.9,3,2.0,4,2
154,1809.0,40.0,59.0,63.0,25.8,13.9,3,2.0,4,2
155,1808.0,40.0,59.0,63.0,25.7,13.9,3,2.0,4,2
156,1806.0,40.0,58.0,63.0,25.7,13.9,3,2.0,4,2
157,1805.0,40.0,58.0,63.0,25.7,13.9,3,2.0,4,2
158,1805.0,40.0,58.0,63.0,25.7,13.8,3,2.0,4,2
159,1805.0,40.0,58.0,62.0,25.7,13.9,3,2.0,4,2
160,1805.0,40.0,59.0,63.0,25.7,13.8,3,2.0,4,2
161,1806.0,40.0,59.0,63.0,25.7,13.8,3,2.0,4,2
162,1806.0,40.0,59.0,63.0,25.7,13.8,3,2.0,4,2
163,1805.0,40.0,59.0,63.0,25.7,13.8,3,2.0,4,2
164,1805.0,40.0,59.0,64.0,25.7,13.9,3,2.0,4,2
165,1806.0,40.0,59.0,64.0,25.7,13.8,3,2.0,4,2
166,1807.0,40.0,59.0,63.0,25.7,13.9,3,2.0,4,2
167,1808.0,40.0,59.0,63.0,25.7,13.9,3,2.0,4,2
168,1809.0,40.0,59.0,63.0,25.7,13.9,3,2.0,4,2
169,1810.0,40.0,59.0,62.0,25.7,13.9,3,2.0,4,2
170,1812.0,40.0,59.0,62.0,25.8,13.9,3,2.0,4,2
171,1814.0,40.0,59.0,62.0,25.8,13.9,3,2.0,4,2
172,1816.0,42.0,60.0,63.0,25.8,13.9,3,2.0,4,2
173,1818.0,42.0,60.0,63.0,25.8,13.9,3,2.0,4,2
174,1820.0,41.0,59.0,62.0,25.8,13.9,3,2.0,4,2
175,1822.0,41.0,59.0,62.0,25.8,13.9,3,2.0,4,2
176,1823.0,41.0,59.0,62.0,25.8,13.9,3,2.0,4,2
177,1824.0,41.0,59.0,62.0,25.8,13.9,3,2.0,4,2
178,1825.0,41.0,59.0,62.0,25.8,13.9,3,2.0,4,2
179,1826.0,42.0,61.0,63.0,25.8,13.9,3,2.0,4,2
180,1827.0,41.0,60.0,62.0,25.8,13.9,3,2.0,4,2
181,1828.0,41.0,60.0,62.0,25.8,13.9,3,2.0,4,2
