,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Position,Floor No.,Weather,Occupancy_Classified
102,1795.0,41.0,59.0,64.0,25.9,13.9,72.9,middle,2.0,sunny,2
103,1796.0,41.0,58.0,64.0,25.9,13.9,71.3,middle,2.0,sunny,2
104,1796.0,41.0,58.0,63.0,25.9,13.9,76.4,middle,2.0,sunny,2
105,1796.0,41.0,58.0,63.0,25.9,13.9,80.1,middle,2.0,sunny,2
106,1797.0,41.0,58.0,63.0,25.9,13.9,75.1,middle,2.0,sunny,2
107,1798.0,41.0,58.0,62.0,25.9,13.9,74.3,middle,2.0,sunny,2
108,1799.0,41.0,59.0,62.0,26.0,13.9,77.8,middle,2.0,sunny,2
109,1799.0,41.0,59.0,62.0,26.0,13.9,71.8,middle,2.0,sunny,2
110,1801.0,41.0,59.0,61.0,25.9,13.9,70.6,middle,2.0,sunny,2
111,1802.0,41.0,59.0,61.0,26.0,13.9,79.7,middle,2.0,sunny,2
112,1804.0,41.0,59.0,61.0,25.9,13.9,72.2,middle,2.0,sunny,2
113,1805.0,41.0,59.0,60.0,25.9,13.9,72.0,middle,2.0,sunny,2
114,1806.0,41.0,58.0,60.0,26.0,13.9,79.7,middle,2.0,sunny,2
115,1809.0,40.0,58.0,60.0,26.0,13.9,77.4,middle,2.0,sunny,2
116,1811.0,40.0,57.0,60.0,26.0,13.9,71.5,middle,2.0,sunny,2
117,1813.0,40.0,57.0,60.0,26.0,13.9,70.2,middle,2.0,sunny,2
118,1814.0,40.0,57.0,60.0,25.9,13.9,69.9,middle,2.0,sunny,2
119,1815.0,40.0,57.0,60.0,26.0,13.9,72.0,middle,2.0,sunny,2
120,1816.0,40.0,57.0,60.0,25.9,13.9,81.4,middle,2.0,sunny,2
121,1817.0,40.0,58.0,60.0,25.9,13.9,74.7,middle,2.0,sunny,2
122,1817.0,40.0,58.0,60.0,25.9,13.9,72.3,middle,2.0,sunny,2
123,1817.0,40.0,58.0,60.0,25.9,13.9,77.0,middle,2.0,sunny,2
124,1817.0,40.0,58.0,60.0,25.9,13.9,73.5,middle,2.0,sunny,2
125,1817.0,40.0,58.0,60.0,25.9,13.9,70.9,middle,2.0,sunny,2
126,1817.0,40.0,59.0,61.0,25.9,13.9,76.5,middle,2.0,sunny,2
127,1817.0,41.0,59.0,61.0,25.9,13.9,71.7,middle,2.0,sunny,2
128,1816.0,41.0,60.0,61.0,25.9,13.9,71.6,middle,2.0,sunny,2
129,1815.0,41.0,60.0,61.0,25.9,13.9,77.3,middle,2.0,sunny,2
130,1813.0,41.0,60.0,62.0,25.9,13.9,73.9,middle,2.0,sunny,2
131,1813.0,42.0,60.0,62.0,25.9,13.9,70.9,middle,2.0,sunny,2
132,1812.0,43.0,61.0,63.0,25.9,13.9,71.7,middle,2.0,sunny,2
133,1812.0,42.0,60.0,62.0,25.9,13.9,72.0,middle,2.0,sunny,2
134,1811.0,42.0,60.0,61.0,25.9,13.9,77.3,middle,2.0,sunny,2
135,1811.0,43.0,61.0,61.0,25.8,13.9,76.8,middle,2.0,sunny,2
136,1811.0,43.0,60.0,61.0,25.8,13.9,72.1,middle,2.0,sunny,2
137,1810.0,41.0,59.0,60.0,25.8,13.9,75.5,middle,2.0,sunny,2
138,1810.0,41.0,59.0,60.0,25.8,13.9,75.0,middle,2.0,sunny,2
139,1809.0,41.0,59.0,60.0,25.8,13.9,72.8,middle,2.0,sunny,2
140,1809.0,40.0,59.0,60.0,25.8,13.9,76.0,middle,2.0,sunny,2
141,1809.0,40.0,59.0,60.0,25.8,13.9,71.2,middle,2.0,sunny,2
142,1809.0,40.0,58.0,60.0,25.8,13.9,69.7,middle,2.0,sunny,2
143,1810.0,40.0,58.0,60.0,25.8,13.9,81.3,middle,2.0,sunny,2
144,1810.0,40.0,58.0,60.0,25.8,13.9,73.8,middle,2.0,sunny,2
145,1810.0,40.0,58.0,60.0,25.7,13.9,70.6,middle,2.0,sunny,2
146,1810.0,40.0,59.0,60.0,25.8,13.9,80.0,middle,2.0,sunny,2
147,1810.0,40.0,59.0,60.0,25.7,13.9,71.8,middle,2.0,sunny,2
148,1811.0,40.0,59.0,60.0,25.8,13.9,71.5,middle,2.0,sunny,2
149,1811.0,41.0,60.0,60.0,25.7,13.8,73.5,middle,2.0,sunny,2
150,1811.0,41.0,60.0,61.0,25.7,13.9,71.8,middle,2.0,sunny,2
151,1811.0,41.0,60.0,62.0,25.8,13.9,69.2,middle,2.0,sunny,2
152,1811.0,40.0,59.0,62.0,25.7,13.9,73.9,middle,2.0,sunny,2
153,1811.0,40.0,59.0,63.0,25.8,13.9,75.4,middle,2.0,sunny,2
154,1809.0,40.0,59.0,63.0,25.8,13.9,71.3,middle,2.0,sunny,2
155,1808.0,40.0,59.0,63.0,25.7,13.9,76.2,middle,2.0,sunny,2
156,1806.0,40.0,58.0,63.0,25.7,13.9,72.8,middle,2.0,sunny,2
157,1805.0,40.0,58.0,63.0,25.7,13.9,75.3,middle,2.0,sunny,2
